ClientID,Age,YearsAtCamp,Race,ZipCode,Age_Group,Test_Type,SurveyYear,RateQ1,RateQ2,RateQ3,RateQ4,RateQ5,RateQ6,RateQ7,RateQ8,RateQ9,RateQ10,RateQ11,RateQ12,RateQ13,RateQ14,RateQ15,RateQ16,RateQ17,RateQ18,RateQ19,RateQ20,RateQ21,RateQ22,RateQ23,RateQ24,RateQ25,LikertQ1,LikertQ2,LikertQ3
1,14,2,Black,68111,Older Group,Pre Test,2019,2,4,5,5,6,4,3,7,6,7,6,7,7,6,7,7,6,6,7,4,6,5,2,6,3,3,2,1
4,14,3,Caucasian,68106,Older Group,Pre Test,2019,6,7,5,7,5,7,7,7,5,7,4,6,7,7,7,7,7,5,7,7,7,7,6,7,7,4,3,3
5,15,4,Black,68111,Older Group,Pre Test,2019,7,7,6,5,7,7,5,6,6,7,5,6,7,7,6,6,6,6,7,7,7,4,4,6,7,5,2,2
6,13,3,Caucasian,68132,Older Group,Pre Test,2019,4,4,3,3,6,4,4,5,3,5,4,4,6,6,6,4,6,6,6,5,5,3,3,4,5,2,2,2
7,14,4,Caucasian,68132,Older Group,Pre Test,2019,5,6,4,5,5,6,5,7,4,6,3,5,6,6,5,3,5,6,6,7,6,4,3,6,6,2,2,2
8,14,6,Caucasian,68105,Older Group,Pre Test,2019,6,7,4,4,7,7,6,7,6,6,6,6,7,7,7,7,7,6,7,7,7,6,3,4,7,3,3,2
10,14,8,Caucasian,68106,Older Group,Pre Test,2019,5,6,5,7,6,6,4,6,5,7,5,6,6,6,6,5,5,7,6,5,6,6,3,6,7,2,1,1
11,14,7,Black,68005,Older Group,Pre Test,2019,5,7,6,5,7,6,2,6,5,3,7,5,3,6,7,7,5,6,2,4,7,6,2,4,7,5,4,2
12,15,3,Caucasian,68104,Older Group,Pre Test,2019,3,5,3,3,5,2,2,2,1,4,2,3,3,3,3,2,4,4,3,2,6,2,1,3,2,1,1,1
13,15,3,Caucasian,68114,Older Group,Pre Test,2019,6,5,6,7,7,6,6,6,5,6,6,7,7,7,3,4,5,7,7,3,7,5,5,4,7,4,4,4
14,13,6,Black,68112,Older Group,Pre Test,2019,7,7,5,7,7,7,7,7,6,7,6,7,7,7,7,6,4,7,7,7,7,4,5,7,7,2,2,2
15,14,6,Caucasian,68105,Older Group,Pre Test,2019,6,7,5,5,5,6,6,6,6,7,6,7,7,7,7,7,5,7,7,5,7,5,5,7,6,2,1,1
16,13,5,Caucasian,68105,Older Group,Pre Test,2019,6,7,7,6,7,6,5,7,4,7,7,7,6,7,7,6,7,5,7,5,7,5,3,6,7,1,1,1
17,14,2,Caucasian,68137,Older Group,Pre Test,2019,4,4,4,4,4,4,4,3,2,7,4,4,4,4,6,2,6,4,3,4,4,4,3,4,4,4,2,1
18,14,3,Multiracial,68124,Older Group,Pre Test,2019,4,3,4,4,5,5,4,4,3,5,4,5,5,5,4,4,4,5,5,5,6,5,4,3,5,4,3,2
19,13,4,Caucasian,68105,Older Group,Pre Test,2019,5,4,6,5,5,6,4,6,6,3,5,6,5,5,6,3,5,6,5,5,6,6,3,5,6,4,2,2
20,13,4,Caucasian,68153,Older Group,Pre Test,2019,4,5,4,6,6,6,6,4,4,6,5,5,5,5,6,5,6,6,6,4,4,3,2,3,4,2,1,2
21,13,2,Black,68005,Older Group,Pre Test,2019,4,4,6,7,7,4,4,7,2,7,5,6,7,7,7,7,7,5,7,7,7,7,7,7,7,4,6,3
22,14,6,Caucasian,68105,Older Group,Pre Test,2019,7,7,7,7,7,7,6,6,5,6,6,7,7,7,7,5,5,7,7,6,7,5,7,7,6,3,2,2
23,15,3,Caucasian,68025,Older Group,Pre Test,2019,6,6,4,5,6,5,4,5,6,7,6,5,5,6,6,7,7,6,6,5,7,6,4,5,6,1,2,2
25,15,4,Caucasian,68510,Older Group,Pre Test,2019,6,6,4,4,5,5,4,7,4,7,5,5,4,5,4,4,4,3,6,4,5,5,2,4,4,5,2,6
